MovieID,title,release_year,runtime,Genre:IMAX,Genre:Musical,Genre:Thriller,Genre:Comedy,Genre:Western,Genre:Drama,Genre:Adventure,Genre:Mystery,Genre:Fantasy,Genre:Action,Genre:Crime,Genre:Animation,Genre:Horror,Genre:Documentary,Genre:Sci-Fi,Genre:Romance,Genre:War,Genre:(no genres listed),Genre:Children,Genre:Film-Noir
14,Nixon,1995.0,192.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Othello,1995.0,123.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Dangerous Minds,1995.0,99.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,"Cry, the Beloved Country",1995.0,106.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,Restoration,1995.0,117.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Georgia,1995.0,115.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,Home for the Holidays,1995.0,103.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,Mr. Holland's Opus,1995.0,143.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,Two Bits,1995.0,85.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,Margaret's Museum,1995.0,114.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,The Star Maker,1995.0,113.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,The Silences of the Palace,1994.0,124.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,Angela,1996.0,99.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,The Basketball Diaries,1995.0,102.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,An Awfully Big Adventure,1995.0,113.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,Belle de Jour,1967.0,101.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,Feast of July,1995.0,116.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,Kids,1995.0,91.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,Nadja,1995.0,93.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,Showgirls,1995.0,131.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,The Stars Fell on Henrietta,1995.0,109.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
