avg_rating,rating_std,rating_count,age,gender,occupation
3.612896189762116,1.0823055666711092,73355,39.32143,M,16
3.54779461450098,1.1066482290990596,236784,35.7925,M,0
3.5318060181029636,1.1658414392401808,119207,24.15905,M,4
3.6006970555909064,1.1156390433749692,69148,34.690636,M,2
3.5206898212823354,1.0902272330491583,20759,33.779762,M,5
3.6026053639846745,1.1519763499760338,19575,37.27723,M,11
3.565549646957774,1.105708346350729,79169,39.270603,M,1
3.6542967622785247,1.0788615051658332,51981,33.748276,M,12
3.6468273923975745,1.1065909864728196,33805,39.268383,M,6
3.6056997389597223,1.0910639610761952,46353,34.925,M,14
3.504750304506699,1.1459164614837887,24630,32.247864,F,9
3.487991172261591,1.1534957883467072,57999,34.811928,M,20
3.6054035009048544,1.074279527489828,62441,35.825,M,17
3.611355659984534,1.1649658225660013,33622,31.863636,M,10
3.522318278052223,1.062923429756638,11336,36.90625,M,18
